"subject","trial","type","rt","p","r","vDiff_ab","choice_ab","vA","vB","choice_lr","H"
9156482,1,"AB",5.84159999996424,0.5,0.7,5.25,1,30,24.75,"1",45
9156482,2,"AB",4.70810000002384,0.5,0.7,-10.5,0,30,40.5,"0",90
9156482,3,"AB",4.24409999996424,0.5,0.7,15.75,1,30,14.25,"0",15
9156482,4,"AB",5.24339999997616,0.5,0.7,3.5,1,30,26.5,"1",50
9156482,5,"AB",2.67059999996424,0.5,0.7,17.5,1,30,12.5,"1",10
9156482,6,"AB",9.68060000002384,0.5,0.7,10.5,1,30,19.5,"0",30
9156482,7,"AB",5.37240000003576,0.5,0.7,12.25,1,30,17.75,"0",25
9156482,8,"AB",6.87610000002384,0.5,0.7,-3.5,1,30,33.5,"0",70
9156482,9,"AB",3.54730000001192,0.5,0.7,-14,0,30,44,"0",100
9156482,10,"AB",1.936,0.5,0.7,8.75,1,30,21.25,"1",35
9156482,11,"AB",2.56930000001192,0.5,0.7,19.25,1,30,10.75,"0",5
9156482,12,"AB",1.90880000001192,0.5,0.7,-1.75,1,30,31.75,"1",65
9156482,13,"AB",1.7825,0.5,0.7,7,1,30,23,"1",40
9156482,14,"AB",1.59969999998808,0.5,0.7,-5.25,1,30,35.25,"1",75
9156482,15,"AB",3.77530000001192,0.5,0.7,0,1,30,30,"1",60
9156482,16,"AB",2.32610000002384,0.5,0.7,14,1,30,16,"0",20
9156482,17,"AB",2.52440000003576,0.5,0.7,-12.25,0,30,42.25,"0",95
9156482,18,"AB",2.13639999997616,0.5,0.7,-8.75,0,30,38.75,"1",85
9156482,19,"AB",1.50110000002384,0.5,0.7,-7,1,30,37,"0",80
9156482,20,"AB",1.505,0.5,0.7,1.75,1,30,28.25,"1",55
9156482,21,"ApBp",6.98020000004768,0.5,0.7,19.25,1,21,1.75,"0",5
9156482,22,"ApBp",6.02510000002384,0.5,0.7,-7,1,21,28,"0",80
9156482,23,"ApBp",6.49019999998808,0.5,0.7,5.25,1,21,15.75,"0",45
9156482,24,"ApBp",5.02369999998808,0.5,0.7,-5.25,1,21,26.25,"0",75
9156482,25,"ApBp",4.614,0.5,0.7,15.75,1,21,5.25,"1",15
9156482,26,"ApBp",3.27860000002384,0.5,0.7,7,1,21,14,"1",40
9156482,27,"ApBp",1.66110000002384,0.5,0.7,10.5,1,21,10.5,"1",30
9156482,28,"ApBp",1.80869999998808,0.5,0.7,8.75,1,21,12.25,"1",35
9156482,29,"ApBp",3.58680000001192,0.5,0.7,-14,0,21,35,"0",100
9156482,30,"ApBp",1.02680000001192,0.5,0.7,12.25,1,21,8.75,"1",25
9156482,31,"ApBp",1.8935,0.5,0.7,0,1,21,21,"0",60
9156482,32,"ApBp",2.64309999996424,0.5,0.7,-3.5,1,21,24.5,"0",70
9156482,33,"ApBp",3.77140000003576,0.5,0.7,-1.75,1,21,22.75,"1",65
9156482,34,"ApBp",2.78289999997616,0.5,0.7,-8.75,1,21,29.75,"0",85
9156482,35,"ApBp",1.55469999998808,0.5,0.7,-10.5,0,21,31.5,"1",90
9156482,36,"ApBp",2.3995,0.5,0.7,14,1,21,7,"1",20
9156482,37,"ApBp",4.449,0.5,0.7,-12.25,0,21,33.25,"0",95
9156482,38,"ApBp",6.11869999998808,0.5,0.7,3.5,1,21,17.5,"0",50
9156482,39,"ApBp",1.54419999998808,0.5,0.7,17.5,1,21,3.5,"1",10
9156482,40,"ApBp",2.1935,0.5,0.7,1.75,1,21,19.25,"1",55
9156521,1,"AB",8.81109999996424,0.5,0.7,-13.3,0,30,43.3,"1",70
9156521,2,"AB",5.93019999998808,0.5,0.7,-1.05,1,30,31.05,"0",45
9156521,3,"AB",7.77470000004768,0.5,0.7,-3.5,1,30,33.5,"1",50
9156521,4,"AB",6.002,0.5,0.7,6.3,1,30,23.7,"1",30
9156521,5,"AB",4.5305,0.5,0.7,13.65,1,30,16.35,"1",15
9156521,6,"AB",5.86569999998808,0.5,0.7,1.4,1,30,28.6,"0",40
9156521,7,"AB",7.41320000004768,0.5,0.7,-20.65,0,30,50.65,"1",85
